name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value,FighterId
Raoni Barcelos,200,90,240,0,0,0,100,181,0,611,140000334
Sage Northcutt,200,90,240,0,0,0,50,129,0,609,140000696
Alex Perez,200,180,160,0,0,0,75,119,25,609,140000222
George Sotiropoulos,100,360,160,0,0,0,100,63,25,608,140004653
Sodiq Yusuff,200,90,240,0,0,0,25,103,0,608,140000237
Tanner Boser,300,0,160,0,0,0,125,272,0,607,140000638
Jailton Almeida,200,270,0,0,0,0,0,112,25,607,140001138
Fabio Maldonado,200,0,160,0,70,0,150,302,25,607,140004214
Leonardo Santos,200,180,160,0,70,0,75,71,0,606,140000377
Amir Sadollah,100,90,240,0,70,0,125,228,0,603,140004700
Matheus Nicolau,100,90,240,0,140,0,50,79,0,599,140000828
Brian Kelleher,200,270,240,0,0,0,175,64,0,599,140000702
Ketlen Vieira,0,90,320,0,210,0,75,3,50,598,140000710
Alexis Davis,0,90,400,0,140,0,150,92,25,597,140000204
Jussier Formiga,0,270,480,0,0,0,175,21,0,596,140000214
Ryan Spann,300,180,80,0,70,0,100,39,25,594,140000343
Kurt Pellegrino,100,360,160,0,0,0,125,98,0,593,140003190
Shawn Jordan,600,0,0,0,0,0,100,91,0,591,140003133
Brian Stann,300,90,160,0,0,0,125,140,25,590,140003325
Ricco Rodriguez,500,0,0,0,0,0,50,89,50,589,140002240
Kennedy Nzechukwu,400,90,80,0,0,0,100,119,0,589,140000239
Karol Rosa,0,0,240,75,140,0,50,183,0,588,140000580
Sam Stout,100,0,400,0,210,0,275,152,0,587,140003712
Jens Pulver,200,0,240,75,0,0,50,47,75,587,140003574
Mateusz Gamrot,300,90,80,0,70,0,50,45,50,585,140001053
Said Nurmagomedov,200,180,80,0,70,0,50,105,0,585,140000030
Matthew Riddle,100,0,320,0,70,0,75,168,0,583,140004192
David Abbott,500,180,80,0,0,0,250,72,0,582,140001912
Ion Cutelaba,400,0,160,0,0,0,200,221,0,581,140000305
Jalin Turner,300,270,0,0,0,0,100,111,0,581,140000056
Warlley Alves,200,270,160,0,0,0,150,98,0,578,140000339
Darren Till,200,0,240,0,70,0,125,39,150,574,140000197
Antonio Carlos Junior,0,450,160,0,0,0,125,88,0,573,
Alex Pereira,300,0,80,0,70,0,25,98,50,573,140001220
Eryk Anders,400,0,160,0,70,0,200,90,50,570,140000264
Macy Chiasson,200,90,160,0,70,0,75,124,0,569,140000128
Scott Holtzman,100,90,320,0,0,0,150,207,0,567,140000080
Ray Borg,0,180,400,0,0,0,125,86,25,566,140000226
Danny Castillo,200,0,320,0,70,0,175,150,0,565,140003863
Jonathan Pearce,200,90,160,0,0,0,25,136,0,561,140000449
Rafael Fiziev,300,0,240,0,0,0,75,46,50,561,140000269
Sergio Moraes,100,270,160,0,140,0,125,15,0,560,140000160
Max Griffin,300,0,160,75,70,0,200,155,0,560,140000036
Claudia Gadelha,0,90,320,0,140,0,125,109,25,559,140000441
Michael McDonald,200,180,80,0,70,0,75,54,50,559,140003448
Roman Dolidze,400,0,80,0,70,0,50,58,0,558,140000923
Kyler Phillips,100,90,240,0,0,0,25,153,0,558,140000890
Douglas Silva de Andrade,200,90,320,0,0,0,125,72,0,557,140000679
Olivier Aubin-Mercier,100,360,80,0,70,0,125,71,0,556,140000502
Davey Grant,300,90,80,0,70,0,150,165,0,555,140000644
Miesha Tate,100,90,240,75,0,0,150,99,100,554,140001126
Muslim Salikhov,300,0,160,0,70,0,75,97,0,552,140000594
Chad Laprise,300,0,160,0,70,0,100,122,0,552,140000746
Renato Sobral,0,360,80,75,0,0,100,111,25,551,140002641
Erick Silva,200,450,0,0,0,0,200,74,25,549,140004105
Sara McMann,100,180,240,0,70,0,150,80,25,545,140000701
Andrea Lee,100,90,240,0,0,0,150,264,0,544,140000082
Kendall Grove,200,180,80,0,140,0,150,94,0,544,140003470
Niko Price,400,180,80,0,0,0,175,58,0,543,140000169
Jared Rosholt,100,0,400,0,0,0,50,90,0,540,140004682
Marc Diakiese,200,0,400,0,0,0,175,115,0,540,140000183
Patrick Cummins,200,0,240,0,70,0,175,201,0,536,140000355
Paige VanZant,200,180,80,0,0,0,100,126,50,536,140000017
Matt Serra,200,90,160,75,70,0,175,64,50,534,140003831
Shavkat Rakhmonov,100,360,0,0,0,0,0,74,0,534,140000893
Julio Arce,200,90,160,0,0,0,100,183,0,533,140000351
Frank Shamrock,200,270,0,0,0,0,0,38,25,533,140004995
Brock Lesnar,200,90,80,0,0,0,75,113,125,533,140004625
Kyle Noke,300,180,0,0,70,0,150,132,0,532,140003903
Tyson Pedro,400,180,0,0,0,0,100,50,0,530,140000688
Mirsad Bektic,200,90,80,75,70,0,100,112,0,527,140000469
Rashid Magomedov,100,0,240,0,70,0,25,141,0,526,140004724
Mike Perry,400,0,160,0,70,0,200,95,0,525,140000307
Ricardo Ramos,200,90,240,0,70,0,100,24,0,524,140000029
Molly McCann,200,0,320,0,0,0,125,129,0,524,140000176
Brendan Schaub,300,90,160,0,0,0,125,97,0,522,140004283
Loopy Godinez,0,180,240,0,70,0,75,107,0,522,
Enrique Barzola,0,0,400,0,70,0,75,126,0,521,140000231
Alexander Hernandez,300,0,240,0,0,0,125,104,0,519,140000014
Casey O'Neill,200,90,0,0,70,0,25,184,0,519,140001101
Gregory Rodrigues,400,0,80,0,0,0,50,89,0,519,140001028
Nicolas Dalby,0,0,320,0,140,0,75,131,0,516,140000620
Bryan Battle,200,180,80,0,0,0,25,81,0,516,140001185
Lerone Murphy,200,0,160,0,70,0,0,81,0,511,140000599
Michelle Waterson-Gomez,0,180,160,0,140,0,200,129,100,509,140000240
Rogerio Nogueira,400,0,80,0,70,0,175,107,25,507,140000342
Loma Lookboonmee,0,90,240,0,70,0,50,157,0,507,140000884
Wilson Gouveia,200,360,0,0,0,0,100,46,0,506,140003002
Keith Jardine,200,0,160,0,140,0,175,181,0,506,140003181
Walt Harris,600,0,0,0,0,0,225,104,25,504,140000323
Joe Stevenson,100,270,240,0,0,0,200,69,25,504,140003214
Mayra Bueno Silva,0,360,80,0,0,50,50,39,25,504,140000842
Abdul Razak Alhassan,600,0,0,0,0,0,125,26,0,501,140000665
Francis Carmont,0,180,240,0,70,0,75,86,0,501,140004383
Ken Shamrock,200,360,0,0,0,0,125,39,25,499,140003283
Ricardo Almeida,0,270,240,0,0,0,125,114,0,499,140002988
Cynthia Calvillo,0,270,240,0,0,0,150,113,25,498,140000094
Amir Albazi,100,180,80,0,70,0,0,39,25,494,140000946
Andre Petroski,100,180,80,0,70,0,0,63,0,493,140001187
Natalia Silva,200,0,160,0,0,0,0,132,0,492,140001415
David Teymur,200,0,240,0,0,0,25,76,0,491,140000046
Hermes Franca,200,180,160,0,0,0,125,51,25,491,140004009
Adrian Yanez,400,0,0,0,70,0,25,46,0,491,140000972
Umar Nurmagomedov,100,180,80,0,0,0,0,130,0,490,140000905
Shane Carwin,400,0,0,0,0,0,50,90,50,490,140003756
Danny Roberts,300,90,80,0,140,0,175,54,0,489,140000188
Joel Alvarez,200,270,0,0,0,0,50,68,0,488,140000100
Anthony Hernandez,100,270,80,0,0,0,50,88,0,488,140000040
Tom Breese,400,0,80,0,0,0,75,81,0,486,140000749
Tracy Cortez,0,0,320,0,70,0,0,92,0,482,140000509
Tom Lawlor,200,180,160,0,0,0,125,67,0,482,140004576
Constantinos Philippou,300,0,160,0,70,0,100,27,25,482,140004507
Jennifer Maia,0,90,400,0,0,0,125,91,25,481,140000205
Oleg Taktarov,0,450,80,0,0,0,50,0,0,480,140004851
Wilson Reis,0,180,400,0,0,0,150,23,25,478,140000257
Thomas Almeida,400,0,80,0,0,0,125,93,25,473,140000667
Krzysztof Soszynski,100,180,160,0,0,0,75,108,0,473,140004205
Pannie Kianzad,0,0,400,0,0,0,100,171,0,471,140000438
Terry Etim,100,360,80,0,0,0,125,55,0,470,140004451
Abel Trujillo,300,90,80,0,0,0,100,99,0,469,140004721
Khaos Williams,300,0,80,0,70,0,50,68,0,468,140000894
Daron Cruickshank,300,0,160,0,70,0,150,88,0,468,140003857
